                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52062,                0.40646,                0.92365,                0.74738,                0.68489,                0.71497,                0.52561,                0.88927,                  1.115,                 1.1081,              0.0003075,              0.0003075,              0.0003075
                     37,                0.51022,                0.40085,                0.92307,                0.74774,                0.69796,                0.73782,                0.53876,                0.90409,                 1.0374,                 1.1256,               0.000302,               0.000302,               0.000302
                     38,                 0.5036,                0.39606,                  0.916,                0.74071,                0.71577,                0.74051,                0.54881,                0.88916,                 1.0488,                 1.1215,              0.0002965,              0.0002965,              0.0002965
                     39,                 0.5016,                0.39152,                0.91512,                0.78197,                0.66844,                0.72125,                0.52999,                0.90451,                 1.0745,                 1.1384,               0.000291,               0.000291,               0.000291
                     40,                0.49112,                0.38262,                0.91668,                0.72662,                0.72255,                0.73644,                  0.543,                0.87411,                 1.0296,                 1.1158,              0.0002855,              0.0002855,              0.0002855
                     41,                0.50506,                 0.3892,                0.91611,                 0.7486,                0.71225,                0.74239,                0.54741,                 0.8813,                 1.0245,                 1.1241,                0.00028,                0.00028,                0.00028
                     42,                0.49352,                0.37916,                0.91477,                0.73571,                0.70008,                0.72503,                0.53043,                0.87697,                 1.0624,                 1.1159,              0.0002745,              0.0002745,              0.0002745
                     43,                0.48869,                0.37442,                0.91287,                0.75974,                0.66003,                0.72299,                0.53076,                0.88671,                 1.0606,                 1.1191,               0.000269,               0.000269,               0.000269
                     44,                 0.4855,                0.37424,                0.91493,                0.78742,                0.69286,                0.73971,                0.54501,                0.88557,                 1.0272,                 1.1237,              0.0002635,              0.0002635,              0.0002635
                     45,                0.48399,                0.37227,                0.90995,                0.73156,                0.73894,                0.74009,                0.54619,                0.87316,                 1.0155,                 1.1088,               0.000258,               0.000258,               0.000258
                     46,                0.47768,                0.36868,                0.90674,                0.74862,                0.67348,                0.72483,                0.53852,                 0.8787,                 1.0854,                 1.1161,              0.0002525,              0.0002525,              0.0002525
                     47,                0.47909,                0.36618,                0.90375,                0.74617,                0.74581,                0.74564,                0.55194,                0.86818,                 1.0252,                 1.1146,               0.000247,               0.000247,               0.000247
                     48,                0.47694,                0.36596,                0.90896,                0.77056,                0.69614,                0.72649,                0.53667,                0.88763,                 1.0589,                 1.1227,              0.0002415,              0.0002415,              0.0002415
                     49,                0.47122,                0.35893,                0.90451,                0.76282,                0.71198,                0.73701,                0.54667,                0.86927,                 1.0845,                 1.1085,               0.000236,               0.000236,               0.000236
                     50,                0.46838,                0.36118,                0.90681,                0.75116,                0.71427,                0.73456,                0.54302,                0.88131,                 1.0408,                 1.1149,              0.0002305,              0.0002305,              0.0002305
